id,curriculo_id,registro_academico,nome,nome_normalizado,forma_ingresso_id,forma_evasao_id,data_matricula,data_conclusao,data_colacao,ira,created_at,updated_at
680,4,GRR69453989,Magali Afonso,MAGALIAFONSO,10,15,2020-02-03,,,0.8711,2024-11-12 20:04:47.567244,2024-11-12 20:04:47.567251
681,4,GRR86872095,Vanderlei Chagas,VANDERLEICHAGAS,12,9,2016-01-08,2021-12-18,2022-03-25,0.8788,2024-11-12 20:04:44.676853,2024-11-12 20:04:44.676860
682,4,GRR33291573,Denis Lemos,DENISLEMOS,12,15,2018-01-12,,,0.7994,2024-11-12 20:04:44.681727,2024-11-12 20:04:44.681735
683,4,GRR37639412,Doralice Meira,DORALICEMEIRA,12,15,2022-04-01,,,0.5816,2024-11-12 20:04:47.572747,2024-11-12 20:04:47.572755
684,4,GRR27221639,Jailton Aquino,JAILTONAQUINO,12,15,2020-01-25,,,0.7573,2024-11-12 20:04:47.578083,2024-11-12 20:04:47.578091
685,5,GRR12934059,Andrea Pereira,ANDREAPEREIRA,12,15,2023-03-03,,,0.4535,2024-11-12 20:04:47.583455,2024-11-12 20:04:47.583463
686,3,GRR60291714,Milton Das,MILTONDAS,12,9,2011-01-19,2019-12-04,,0.4551,2024-11-12 20:04:44.702324,2024-11-12 20:04:44.702331
687,3,GRR50068844,Mayara Franco,MAYARAFRANCO,12,1,2015-01-09,,,0.0465,2024-11-12 20:04:44.707106,2024-11-12 20:04:44.707113
688,4,GRR59504340,Edgar Lemes,EDGARLEMES,12,15,2022-04-01,,,0.9017,2024-11-12 20:04:47.588292,2024-11-12 20:04:47.588299
689,4,GRR12567341,Everaldo De Fatima,EVERALDODEFATIMA,12,9,2018-01-12,2023-02-25,2023-04-14,0.8489,2024-11-12 20:04:44.720343,2024-11-12 20:04:44.720351
690,4,GRR18970495,Livia Esteves,LIVIAESTEVES,12,15,2021-09-20,,,0.823,2024-11-12 20:04:47.593082,2024-11-12 20:04:47.593090
694,5,GRR59675418,Rui De Aquino,RUIDEAQUINO,12,15,2024-02-12,,,0.0,2024-11-12 20:04:44.845877,2024-11-12 20:04:44.845885
705,5,GRR90346863,Aldo Alencar,ALDOALENCAR,12,15,2024-02-12,,,0.0,2024-11-12 20:04:44.903037,2024-11-12 20:04:44.903045
717,5,GRR55303353,Ederson Marcondes,EDERSONMARCONDES,10,15,2024-02-26,,,0.0,2024-11-12 20:04:44.965749,2024-11-12 20:04:44.965757
719,5,GRR40947878,Karoline Felix,KAROLINEFELIX,12,15,2024-03-07,,,0.0,2024-11-12 20:04:44.976375,2024-11-12 20:04:44.976384
720,5,GRR95574425,Silvia Toledo,SILVIATOLEDO,12,15,2024-03-05,,,0.0,2024-11-12 20:04:44.981440,2024-11-12 20:04:44.981447
726,5,GRR24296861,Eliene Carvalho,ELIENECARVALHO,12,15,2024-02-12,,,0.0,2024-11-12 20:04:45.015778,2024-11-12 20:04:45.015786
729,5,GRR79072970,Rose Maciel,ROSEMACIEL,22,15,2023-04-18,,,0.61,2024-11-12 20:04:45.032660,2024-11-12 20:04:45.032667
732,5,GRR84274029,Amilton Sousa,AMILTONSOUSA,12,15,2024-02-12,,,0.0,2024-11-12 20:04:45.048184,2024-11-12 20:04:45.048192
742,5,GRR89199807,Elza Faria,ELZAFARIA,10,15,2024-02-26,,,0.0,2024-11-12 20:04:45.099846,2024-11-12 20:04:45.099854
743,5,GRR56236523,Pedro Custodio,PEDROCUSTODIO,12,15,2024-03-07,,,0.0,2024-11-12 20:04:45.104906,2024-11-12 20:04:45.104914
750,5,GRR60234379,Everton Carvalho,EVERTONCARVALHO,12,15,2024-03-07,,,0.0,2024-11-12 20:04:45.141776,2024-11-12 20:04:45.141784
751,5,GRR79997939,Manoel Bispo,MANOELBISPO,12,15,2024-03-07,,,0.0,2024-11-12 20:04:45.146605,2024-11-12 20:04:45.146612
757,5,GRR63940031,Caroline De Faria,CAROLINEDEFARIA,10,15,2024-03-27,,,0.0,2024-11-12 20:04:45.177712,2024-11-12 20:04:45.177719
763,5,GRR55266737,Gabriel Leite,GABRIELLEITE,12,15,2024-03-07,,,0.0,2024-11-12 20:04:45.208960,2024-11-12 20:04:45.208967
767,5,GRR80673846,Maria Tavares,MARIATAVARES,12,15,2024-03-07,,,0.0,2024-11-12 20:04:45.229164,2024-11-12 20:04:45.229172
